gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2840911578	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/105219741	Animalia	Chordata	Mammalia	Pilosa	Megalonychidae	Choloepus	Choloepus hoffmanni		SPECIES	Choloepus hoffmanni Peters, 1858	Choloepus hoffmanni		CR	Costa Rica - Monteverde		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.309965	-84.792938	1000.0						2015-07-11T00:00:00	11	7	2015	5219520	5219520	HUMAN_OBSERVATION		Observations	OBS.105219741				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:03.051Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2840682337	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/81400046	Animalia	Chordata	Mammalia	Pilosa	Megalonychidae	Choloepus	Choloepus hoffmanni		SPECIES	Choloepus hoffmanni Peters, 1858	Choloepus hoffmanni		CR	Costa Rica - Talamanca		PRESENT	3	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	9.735774	-82.83983	10.0						2014-01-25T00:00:00	25	1	2014	5219520	5219520	HUMAN_OBSERVATION		Observations	OBS.81400046				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:07.959Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2840544482	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/145617155	Animalia	Chordata	Mammalia	Pilosa	Megalonychidae	Choloepus	Choloepus hoffmanni		SPECIES	Choloepus hoffmanni Peters, 1858	Choloepus hoffmanni		CR	Costa Rica - Pococí		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.499918	-83.616057	25.0						2017-10-22T00:00:00	22	10	2017	5219520	5219520	HUMAN_OBSERVATION		Observations	OBS.145617155				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:17.827Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2840503540	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/96931124	Animalia	Chordata	Mammalia	Pilosa	Megalonychidae	Choloepus	Choloepus hoffmanni		SPECIES	Choloepus hoffmanni Peters, 1858	Choloepus hoffmanni		CR	Costa Rica - Talamanca		PRESENT	2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	9.649918	-82.73775	10.0						2014-02-14T00:00:00	14	2	2014	5219520	5219520	HUMAN_OBSERVATION		Observations	OBS.96931124				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:44:49.534Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2840430919	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/120087284	Animalia	Chordata	Mammalia	Pilosa	Megalonychidae	Choloepus	Choloepus hoffmanni		SPECIES	Choloepus hoffmanni Peters, 1858	Choloepus hoffmanni		CR	Costa Rica - Manuel Antonio N.P.		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	9.382084	-84.143981	25.0						2016-06-15T00:00:00	15	6	2016	5219520	5219520	HUMAN_OBSERVATION		Observations	OBS.120087284				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:04.166Z	StillImage	COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2840254087	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/133512941	Animalia	Chordata	Mammalia	Pilosa	Megalonychidae	Choloepus	Choloepus hoffmanni		SPECIES	Choloepus hoffmanni Peters, 1858	Choloepus hoffmanni		CR	Costa Rica - La Selva Reserve		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.431632	-84.008881	100.0						2013-03-16T00:00:00	16	3	2013	5219520	5219520	HUMAN_OBSERVATION		Observations	OBS.133512941				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:44:44.107Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2840253308	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/121946518	Animalia	Chordata	Mammalia	Pilosa	Megalonychidae	Choloepus	Choloepus hoffmanni		SPECIES	Choloepus hoffmanni Peters, 1858	Choloepus hoffmanni		CR	Costa Rica - Pococí		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.202524	-83.778816	10.0						2016-07-12T00:00:00	12	7	2016	5219520	5219520	HUMAN_OBSERVATION		Observations	OBS.121946518				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:44:43.302Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2840238816	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/149399358	Animalia	Chordata	Mammalia	Pilosa	Megalonychidae	Choloepus	Choloepus hoffmanni		SPECIES	Choloepus hoffmanni Peters, 1858	Choloepus hoffmanni		CR	Costa Rica - Monteverde		PRESENT	2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	10.328594	-84.82805	10.0						2017-12-21T00:00:00	21	12	2017	5219520	5219520	HUMAN_OBSERVATION		Observations	OBS.149399358				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:44:58.324Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2840193883	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/142202901	Animalia	Chordata	Mammalia	Pilosa	Megalonychidae	Choloepus	Choloepus hoffmanni		SPECIES	Choloepus hoffmanni Peters, 1858	Choloepus hoffmanni		CR	Costa Rica - Cahuita NP		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	9.735	-82.8359	5.0						2017-07-29T00:00:00	29	7	2017	5219520	5219520	HUMAN_OBSERVATION		Observations	OBS.142202901				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:45:16.601Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
2840098106	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/145251757	Animalia	Chordata	Mammalia	Pilosa	Megalonychidae	Choloepus	Choloepus hoffmanni		SPECIES	Choloepus hoffmanni Peters, 1858	Choloepus hoffmanni		CR	Costa Rica - Talamanca		PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	9.650221	-82.739536	25.0						2017-10-21T00:00:00	21	10	2017	5219520	5219520	HUMAN_OBSERVATION		Observations	OBS.145251757				CC_BY_NC_4_0	Stichting Natuurinformatie				2020-09-05T06:44:58.039Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
