gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1500223550	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/5504796	Animalia	Chordata	Mammalia	Pilosa	Bradypodidae	Bradypus	Bradypus variegatus		SPECIES	Bradypus variegatus Schinz, 1825	Bradypus variegatus		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.384303	-84.142447							2017-03-28T14:25:59	28	3	2017	2436353	2436353	HUMAN_OBSERVATION	iNaturalist	Observations	5504796		Nicholas Sly	2017-05-04T21:18:15	CC_BY_NC_4_0	raindog2035	raindog2035			2020-11-08T17:06:53.483Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1500220618	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/4826999	Animalia	Chordata	Mammalia	Pilosa	Bradypodidae	Bradypus	Bradypus variegatus		SPECIES	Bradypus variegatus Schinz, 1825	Bradypus variegatus		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.383916	-84.143289	15.0						2016-06-17T11:08:00	17	6	2016	2436353	2436353	HUMAN_OBSERVATION	iNaturalist	Observations	4826999		Robert Gilson	2016-12-21T16:25:47	CC_BY_NC_4_0	Robert Gilson	Robert Gilson			2020-11-08T17:06:39.520Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1500218317	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/3749917	Animalia	Chordata	Mammalia	Pilosa	Bradypodidae	Bradypus	Bradypus variegatus		SPECIES	Bradypus variegatus Schinz, 1825	Bradypus variegatus		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.383659	-84.142061	983.0						2016-07-26T13:37:23	26	7	2016	2436353	2436353	HUMAN_OBSERVATION	iNaturalist	Observations	3749917		skoop	2016-07-26T19:46:59	CC_BY_NC_4_0	skoop	skoop			2020-11-08T17:07:12.096Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1500215238	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/1916910	Animalia	Chordata	Mammalia	Pilosa	Bradypodidae	Bradypus	Bradypus variegatus		SPECIES	Bradypus variegatus Schinz, 1825	Bradypus variegatus		CR		San José	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.16177	-83.937961	65.0						2015-07-20T14:07:00	20	7	2015	2436353	2436353	HUMAN_OBSERVATION	iNaturalist	Observations	1916910		Richard Joyce	2015-09-04T03:49:48	CC_BY_4_0	Annika Lindqvist	Annika Lindqvist			2020-11-08T17:07:09.845Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
1500214320	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/1556795	Animalia	Chordata	Mammalia	Pilosa	Bradypodidae	Bradypus	Bradypus variegatus		SPECIES	Bradypus variegatus Schinz, 1825	Bradypus variegatus		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.158875	-83.711057	969.0						2015-05-14T00:00:00	14	5	2015	2436353	2436353	HUMAN_OBSERVATION	iNaturalist	Observations	1556795		markg	2015-05-28T15:56:58	CC_BY_NC_4_0	markg	markg			2020-11-08T17:07:11.456Z		GEODETIC_DATUM_ASSUMED_WGS84
1500213885	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/1412886	Animalia	Chordata	Mammalia	Pilosa	Bradypodidae	Bradypus	Bradypus variegatus		SPECIES	Bradypus variegatus Schinz, 1825	Bradypus variegatus		CR		Alajuela	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.668211	-84.512078	31174.0						2015-04-21T08:57:48	21	4	2015	2436353	2436353	HUMAN_OBSERVATION	iNaturalist	Observations	1412886		Charlie Hohn	2015-04-27T02:13:48	CC0_1_0	Charlie Hohn	Charlie Hohn			2020-11-08T16:52:34.394Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1457603396	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/5555223	Animalia	Chordata	Mammalia	Pilosa	Bradypodidae	Bradypus	Bradypus variegatus		SPECIES	Bradypus variegatus Schinz, 1825	Bradypus variegatus		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.392308	-84.136988	471.0						2016-11-21T08:56:00	21	11	2016	2436353	2436353	HUMAN_OBSERVATION	iNaturalist	Observations	5555223		Richard Joyce	2017-04-12T18:37:38	CC_BY_4_0	Kendall Williams	Kendall Williams			2020-11-08T17:07:16.266Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1455597096	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/5515398	Animalia	Chordata	Mammalia	Pilosa	Bradypodidae	Bradypus	Bradypus variegatus		SPECIES	Bradypus variegatus Schinz, 1825	Bradypus variegatus		CR		Limón	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	9.634255	-82.654288							2017-03-29T17:33:12	29	3	2017	2436353	2436353	HUMAN_OBSERVATION	iNaturalist	Observations	5515398		Roberto R. Calderón	2017-03-31T04:35:55	CC_BY_NC_4_0	ajeffrey	ajeffrey			2020-11-08T16:52:45.367Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1453497486	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/5279110	Animalia	Chordata	Mammalia	Pilosa	Bradypodidae	Bradypus	Bradypus variegatus		SPECIES	Bradypus variegatus Schinz, 1825	Bradypus variegatus		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	8.400256	-83.284973	80.0						2017-02-27T16:56:41	27	2	2017	2436353	2436353	HUMAN_OBSERVATION	iNaturalist	Observations	5279110		d_kluza	2017-03-13T13:38:23	CC_BY_NC_4_0	eslone	eslone			2020-11-08T16:52:45.015Z		GEODETIC_DATUM_ASSUMED_WGS84
1453497446	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/5278906	Animalia	Chordata	Mammalia	Pilosa	Bradypodidae	Bradypus	Bradypus variegatus		SPECIES	Bradypus variegatus Schinz, 1825	Bradypus variegatus		CR		Puntarenas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	8.400256	-83.284973							2017-02-28T15:51:13	28	2	2017	2436353	2436353	HUMAN_OBSERVATION	iNaturalist	Observations	5278906		eslone	2017-03-13T13:47:41	CC_BY_NC_4_0	eslone	eslone			2020-11-08T17:07:04.219Z		GEODETIC_DATUM_ASSUMED_WGS84
1453483106	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/5237088	Animalia	Chordata	Mammalia	Pilosa	Bradypodidae	Bradypus	Bradypus variegatus		SPECIES	Bradypus variegatus Schinz, 1825	Bradypus variegatus		CR		Alajuela	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.470834	-84.651108							2017-03-06T10:22:31	6	3	2017	2436353	2436353	HUMAN_OBSERVATION	iNaturalist	Observations	5237088		Steven Easley	2017-03-06T17:40:19	CC_BY_NC_4_0	Steven Easley	Steven Easley			2020-11-08T16:52:45.120Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1453476696	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/5222518	Animalia	Chordata	Mammalia	Pilosa	Bradypodidae	Bradypus	Bradypus variegatus		SPECIES	Bradypus variegatus Schinz, 1825	Bradypus variegatus		CR		Limón	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	10.533636	-83.499012	1333.0						2015-10-19T04:27:00	19	10	2015	2436353	2436353	HUMAN_OBSERVATION	iNaturalist	Observations	5222518		Catherine Yasuda	2017-03-04T18:16:59	CC_BY_4_0	Catherine Yasuda	Catherine Yasuda			2020-11-08T16:52:44.581Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
